,date,close
0,2022-10-05,132.11
1,2022-09-30,121.08
2,2022-08-31,160.25
3,2022-07-29,159.31
4,2022-06-30,136.72
5,2022-05-31,131.4
6,2022-04-29,148.84
7,2022-03-31,191.5
8,2022-02-28,205.34
9,2022-01-31,200.24
10,2021-12-31,201.32
11,2021-11-30,197.85
12,2021-10-29,207.03
13,2021-09-30,219.94
14,2021-08-31,219.5
15,2021-07-30,226.48
16,2021-06-30,239.56
17,2021-05-28,247.02
18,2021-04-30,234.31
19,2021-03-31,254.72
20,2021-02-26,212.01
21,2021-01-29,194.19
22,2020-12-31,214.06
23,2020-11-30,210.71
24,2020-10-30,144.39
25,2020-09-30,165.26
26,2020-08-31,171.82
27,2020-07-31,158.0
28,2020-06-30,183.3
29,2020-05-29,145.85
30,2020-04-30,141.02
31,2020-03-31,149.14
32,2020-02-28,275.11
33,2020-01-31,318.27
34,2019-12-31,325.76
35,2019-11-29,366.18
36,2019-10-31,339.91
37,2019-09-30,380.47
38,2019-08-30,364.09
39,2019-07-31,341.18
40,2019-06-28,364.01
41,2019-05-31,341.61
42,2019-04-30,377.69
43,2019-03-29,381.42
44,2019-02-28,439.96
45,2019-01-31,385.62
46,2018-12-31,322.5
47,2018-11-30,346.76
48,2018-10-31,354.86
49,2018-09-28,371.9
50,2018-08-31,342.79
51,2018-07-31,356.3
52,2018-06-29,335.51
53,2018-05-31,352.16
54,2018-04-30,333.56
55,2018-03-29,327.88
56,2018-02-28,362.21
57,2018-01-31,354.37
58,2017-12-29,294.91
59,2017-11-30,276.8
60,2017-10-31,257.98
61,2017-09-29,254.21
62,2017-08-31,239.66
63,2017-07-31,242.46
64,2017-06-30,197.75
65,2017-05-31,187.63
66,2017-04-28,184.83
67,2017-03-31,176.86
68,2017-02-28,180.23
69,2017-01-31,163.42
70,2016-12-30,155.68
71,2016-11-30,150.56
72,2016-10-31,142.43
73,2016-09-30,131.74
74,2016-08-31,129.45
75,2016-07-29,133.66
76,2016-06-30,129.87
77,2016-05-31,126.15
78,2016-04-29,134.8
79,2016-03-31,126.94
80,2016-02-29,118.18
81,2016-01-29,120.13
82,2015-12-31,144.59
83,2015-11-30,145.45
84,2015-10-30,148.07
85,2015-09-30,130.95
86,2015-08-31,130.68
87,2015-07-31,144.17
88,2015-06-30,138.72
89,2015-05-29,140.52
90,2015-04-30,143.34
91,2015-03-31,150.08
92,2015-02-27,150.85
93,2015-01-30,145.37
94,2014-12-31,129.98
95,2014-11-28,134.36
96,2014-10-31,124.91
97,2014-09-30,127.38
98,2014-08-29,126.8
99,2014-07-31,120.48
100,2014-06-30,127.23
101,2014-05-30,135.25
102,2014-04-30,129.02
103,2014-03-31,125.49
104,2014-02-28,128.92
105,2014-01-31,125.26
106,2013-12-31,136.49
107,2013-11-29,134.25
108,2013-10-31,130.5
109,2013-09-30,117.5
110,2013-08-30,103.92
111,2013-07-31,105.1
112,2013-06-28,102.44
113,2013-05-31,99.02
114,2013-04-30,91.41
115,2013-03-28,85.85
116,2013-02-28,76.9
117,2013-01-31,73.87
118,2012-12-31,75.36
119,2012-11-30,74.28
120,2012-10-31,70.44
121,2012-09-28,69.595
122,2012-08-31,71.4
123,2012-07-31,73.91
124,2012-06-29,74.3
125,2012-05-31,69.61
126,2012-04-30,76.8
127,2012-03-30,74.37
128,2012-02-29,74.95
129,2012-01-31,74.18
130,2011-12-30,73.35
131,2011-11-30,68.69
132,2011-10-31,65.79
133,2011-09-30,60.51
134,2011-08-31,66.86
135,2011-07-29,70.47
136,2011-06-30,73.93
137,2011-05-31,78.03
138,2011-04-29,79.78
139,2011-03-31,73.93
140,2011-02-28,72.01
141,2011-01-31,69.48
142,2010-12-31,65.26
143,2010-11-30,63.77
144,2010-10-29,70.64
145,2010-09-30,66.54
146,2010-08-31,61.13
147,2010-07-30,68.14
148,2010-06-30,62.75
149,2010-05-28,64.18
150,2010-04-30,72.43
151,2010-03-31,72.61
152,2010-02-26,63.16
153,2010-01-29,60.6
154,2009-12-31,54.13
155,2009-11-30,52.41
156,2009-10-30,47.8
157,2009-09-30,54.15
158,2009-08-31,49.67
159,2009-07-31,42.91
160,2009-06-30,42.5
161,2009-05-29,44.85
162,2009-04-30,40.05
163,2009-03-31,35.58
164,2009-02-27,31.44
165,2009-01-30,42.31
166,2008-12-31,42.67
167,2008-11-28,42.63
168,2008-10-31,52.42
169,2008-09-30,57.35
170,2008-08-29,65.56
171,2008-07-31,61.11
172,2008-06-30,65.72
173,2008-05-30,82.77
174,2008-04-30,84.86
175,2008-03-31,74.37
176,2008-02-29,82.79
177,2008-01-31,83.18
178,2007-12-31,87.46
179,2007-11-30,92.54
180,2007-10-31,98.59
181,2007-09-28,104.99
182,2007-08-31,96.7
183,2007-07-31,103.43
184,2007-06-29,96.16
185,2007-05-31,100.59
186,2007-04-30,93.0
187,2007-03-30,88.91
188,2007-02-28,87.26
189,2007-01-31,89.56
190,2006-12-29,88.84
191,2006-11-30,88.53
192,2006-10-31,79.86
193,2006-09-29,78.85
194,2006-08-31,74.9
195,2006-07-31,77.42
196,2006-06-30,81.91
197,2006-05-31,83.25
198,2006-04-28,83.45
199,2006-03-31,77.93
200,2006-02-28,72.69
201,2006-01-31,68.31
202,2005-12-30,70.24
203,2005-11-30,68.19
204,2005-10-31,64.64
205,2005-09-30,67.95
206,2005-08-31,67.02
207,2005-07-29,66.01
208,2005-06-30,66.0
209,2005-05-31,63.9
210,2005-04-29,59.52
211,2005-03-31,58.46
212,2005-02-28,54.97
213,2005-01-31,50.6
214,2004-12-31,51.77
215,2004-11-30,53.57
216,2004-10-29,49.9
217,2004-09-30,51.62
218,2004-08-31,52.22
219,2004-07-30,50.75
220,2004-06-30,51.09
221,2004-05-28,45.8
222,2004-04-30,42.69
223,2004-03-31,41.07
224,2004-02-27,43.37
225,2004-01-30,41.75
226,2003-12-31,42.14
227,2003-11-28,38.39
228,2003-10-31,38.49
229,2003-09-30,34.33
230,2003-08-29,37.39
231,2003-07-31,33.12
232,2003-06-30,34.32
233,2003-05-30,30.67
234,2003-04-30,27.28
235,2003-03-31,25.06
236,2003-02-28,27.56
237,2003-01-31,31.59
238,2002-12-31,32.99
239,2002-11-29,34.05
240,2002-10-31,29.75
241,2002-09-30,34.13
242,2002-08-30,37.07
243,2002-07-31,41.52
244,2002-06-28,45.0
245,2002-05-31,42.65
246,2002-04-30,44.6
247,2002-03-28,48.25
248,2002-02-28,45.96
249,2002-01-31,40.95
250,2001-12-31,38.78
251,2001-11-30,35.1
252,2001-10-31,32.6
253,2001-09-28,33.5
254,2001-08-31,51.2
255,2001-07-31,58.53
256,2001-06-29,55.6
257,2001-05-31,62.89
258,2001-04-30,61.8
259,2001-03-30,55.71
260,2001-02-28,62.2
261,2001-01-31,58.5
262,2000-12-29,66.0
263,2000-11-30,69.06
264,2000-10-31,67.81
265,2000-09-29,64.5
266,2000-08-31,53.64
267,2000-07-31,48.81
268,2000-06-30,41.81
269,2000-05-31,39.06
270,2000-04-28,39.69
271,2000-03-31,37.81
272,2000-02-29,36.94
273,2000-01-31,44.5
274,1999-12-31,41.44
