,date,close
0,2022-10-05,6.28
1,2022-09-30,7.16
2,2022-09-23,7.61
3,2022-09-16,8.485
4,2022-09-09,8.05
5,2022-09-02,7.91
6,2022-08-26,8.015
7,2022-08-19,8.265
8,2022-08-12,8.435
9,2022-08-05,7.99
10,2022-07-29,7.905
11,2022-07-22,7.99
12,2022-07-15,8.27
13,2022-07-08,8.335
14,2022-07-01,8.07
15,2022-06-24,7.82
16,2022-06-17,7.84
17,2022-06-10,7.83
18,2022-06-03,8.44
19,2022-05-27,8.14
20,2022-05-20,7.835
21,2022-05-13,8.45
22,2022-05-06,8.405
23,2022-04-29,8.38
24,2022-04-22,8.35
25,2022-04-14,7.83
26,2022-04-08,8.15
27,2022-04-01,7.965
28,2022-03-25,7.574
29,2022-03-18,7.986
30,2022-03-11,7.494
31,2022-03-04,7.112
32,2022-02-25,8.86
33,2022-02-18,9.824
34,2022-02-11,9.906
35,2022-02-04,8.966
36,2022-01-28,9.146
37,2022-01-21,9.686
38,2022-01-14,9.712
39,2022-01-07,9.628
40,2021-12-30,9.22
41,2021-12-23,9.376
42,2021-12-17,9.352
43,2021-12-10,10.595
44,2021-12-03,10.215
45,2021-11-26,10.24
46,2021-11-19,10.755
47,2021-11-12,11.385
48,2021-11-05,11.25
49,2021-10-29,10.93
50,2021-10-22,11.0
51,2021-10-15,11.38
52,2021-10-08,11.52
53,2021-10-01,11.21
54,2021-09-24,11.505
55,2021-09-17,10.72
56,2021-09-10,10.59
57,2021-09-03,11.055
58,2021-08-27,11.4
59,2021-08-20,11.62
60,2021-08-13,11.485
61,2021-08-06,11.105
62,2021-07-30,10.93
63,2021-07-23,10.46
64,2021-07-16,10.255
65,2021-07-09,10.5
66,2021-07-02,10.535
67,2021-06-25,10.445
68,2021-06-18,10.64
69,2021-06-11,11.485
70,2021-06-04,10.65
71,2021-05-28,10.65
72,2021-05-21,10.095
73,2021-05-14,9.918
74,2021-05-07,9.206
75,2021-04-30,9.1
76,2021-04-23,8.888
77,2021-04-16,8.966
78,2021-04-09,9.012
79,2021-04-01,9.024
80,2021-03-26,9.174
81,2021-03-19,9.436
82,2021-03-12,9.534
83,2021-03-05,9.446
84,2021-02-26,9.13
85,2021-02-19,10.415
86,2021-02-12,9.938
87,2021-02-05,9.8
88,2021-01-29,9.634
89,2021-01-22,10.0
90,2021-01-15,10.08
91,2021-01-08,9.874
92,2020-12-30,9.196
93,2020-12-23,8.876
94,2020-12-18,8.68
95,2020-12-11,7.416
